Month,,,,Data for Chermside,,,,,,,,,,,,,,,,,,,
January 2021,Rainfall (mm),February 2021,Rainfall (mm),March 2021,Rainfall (mm),April 2021,Rainfall (mm),May 2021,Rainfall (mm),June 2021,Rainfall (mm),July 2021,Rainfall (mm),August 2021,Rainfall (mm),September 2021,Rainfall (mm),October 2021,Rainfall (mm),November 2021,Rainfall (mm),December 2021,Rainfall (mm)
1,0,1,0,1,5.6,1,0,1,0,1,0,1,2.6,1,0.6,,,,,,,,
2,0,2,0,2,0.2,2,0,2,0,2,0,2,23.2,2,0.2,,,,,,,,
3,0,3,27.2,3,56,3,0,3,0.4,3,0,3,2,3,0,,,,,,,,
4,0,4,20.6,4,0.6,4,0,4,0,4,6.8,4,0.2,4,0,,,,,,,,
5,0.2,5,0,5,0,5,0,5,0,5,0.2,5,12.8,5,0,,,,,,,,
6,3.8,6,0,6,0,6,0,6,11,6,2.2,6,8.2,6,4.2,,,,,,,,
7,0,7,0.8,7,23.4,7,1,7,0.4,7,0.2,7,0,7,0.2,,,,,,,,
8,9.4,8,0,8,0.2,8,0,8,2.6,8,0,8,0,8,0,,,,,,,,
9,0.6,9,0,9,0.6,9,2.2,9,2,9,0,9,0,9,0,,,,,,,,
10,0,10,0,10,0.2,10,3.2,10,12.6,10,0,10,0,10,0,,,,,,,,
11,0.2,11,0,11,0,11,0,11,11.2,11,0,11,0,11,0,,,,,,,,
12,0,12,0,12,0,12,0,12,40.4,12,0,12,0,12,0,,,,,,,,
13,0.2,13,7.2,13,0,13,0,13,67.6,13,0,13,,13,0.4,,,,,,,,
14,0,14,0.6,14,0,14,1.2,14,28.2,14,0,14,0,14,1.8,,,,,,,,
15,0,15,5.6,15,0,15,0.2,15,18.8,15,0,15,0,15,0,,,,,,,,
16,4.2,16,0.2,16,0,16,0,16,0.8,16,0,16,0,16,0,,,,,,,,
17,0,17,0,17,0,17,0,17,27,17,0,17,0,17,0,,,,,,,,
18,0,18,0,18,0.2,18,0,18,0.4,18,0,18,0,18,0,,,,,,,,
19,0,19,19.2,19,0,19,0,19,0.4,19,0,19,0,19,0,,,,,,,,
20,0,20,10.4,20,0,20,0,20,0.4,20,0,20,0,20,0,,,,,,,,
21,19.2,21,0.2,21,0,21,0,21,15.6,21,0,21,1.8,,,,,,,,,,
22,1.6,22,2.2,22,0,22,0,22,23.2,22,0.2,22,15.4,,,,,,,,,,
23,2,23,38.6,23,0,23,1,23,8.8,23,0,23,4.4,,,,,,,,,,
24,0,24,13.4,24,0,24,3.4,24,6.4,24,0,24,0,,,,,,,,,,
25,0,25,64,25,0,25,11.6,25,0.4,25,0,25,0,,,,,,,,,,
26,2,26,225.6,26,56.2,26,12.2,26,0.4,26,0,26,0,,,,,,,,,,
27,15.2,27,228.4,27,6.2,27,0.2,27,0.2,27,0,27,0,,,,,,,,,,
28,3,28,222.8,28,44.6,28,4.4,28,0,28,0,28,0,,,,,,,,,,
29,0.4,,,29,63.8,29,1,29,0,29,0,29,0,,,,,,,,,,
30,0.2,,,30,13.8,30,1,30,0,30,0.8,30,0,,,,,,,,,,
31,0,,,31,0,,,31,0.8,,,31,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Data for Ipswich,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/1/2021,Rainfall (mm),February 2021,Rainfall (mm),March 2021,Rainfall (mm),April 2021,Rainfall (mm),May 2021,Rainfall (mm),June 2021,Rainfall (mm),July 2021,Rainfall (mm),August 2021,Rainfall (mm),September 2021,Rainfall (mm),October 2021,Rainfall (mm),November 2021,Rainfall (mm),December 2021,Rainfall (mm)
1,0,1,5,1,0,1,0,1,1,1,0,1,3,1,0,1,0,1,0,1,0,1,64
2,2,2,2,2,0,2,4,2,6,2,0,2,7,2,0,2,7,2,0,2,0,2,0
3,0,3,11,3,9,3,0,3,0,3,0,3,9,3,0,3,0,3,0,3,0,3,0
4,0,4,0,4,1,4,3,4,0,4,7,4,1,4,2,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,8,5,4,5,0,5,0,5,0,5,0,5,0,5,0,5,10
6,0,6,0,6,0,6,30,6,12,6,0,6,0,6,0,6,0,6,0,6,0,6,0
7,82,7,0,7,0,7,26,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,4,8,22,8,0
9,3,9,0,9,35,9,0,9,0,9,2,9,7,9,1,9,0,9,0,9,7,9,36
10,0,10,0,10,0,10,0,10,0,10,0,10,1,10,0,10,0,10,0,10,2,10,30
11,0,11,0,11,0,11,0,11,17,11,0,11,0,11,0,11,0,11,0,11,4,11,0
12,0,12,0,12,39,12,0,12,7,12,0,12,0,12,0,12,0,12,35,12,30,12,0
13,0,13,0,13,0,13,0,13,22,13,0,13,0,13,0,13,0,13,0,13,4,13,0
14,0,14,2,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,43,14,0,14,0
15,0,15,1,15,17,15,0,15,0,15,2,15,1,15,0,15,0,15,1,15,0,15,0
16,0,16,0,16,19,16,0,16,0,16,7,16,1,16,0,16,0,16,0,16,0,16,0
17,5,17,1,17,9,17,0,17,0,17,0,17,3,17,0,17,0,17,0,17,0,17,0
18,0,18,1,18,11,18,3,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,5
19,25,19,6,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,19,0,19,0
20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
21,0,21,1,21,6,21,0,21,0,21,0,21,0,21,0,21,0,21,1,21,0,21,0
22,0,22,0,22,57,22,0,22,0,22,0,22,0,22,0,22,0,22,20,22,8,22,0
23,0,23,3,23,52,23,0,23,1,23,0,23,0,23,0,23,0,23,0,23,21,23,0
24,0,24,22,24,27,24,0,24,0,24,1,24,12,24,9,24,0,24,12,24,35,24,0
25,0,25,8,25,0,25,0,25,0,25,1,25,0,25,0,25,0,25,0,25,2,25,0
26,0,26,0,26,0,26,0,26,0,26,1,26,0,26,0,26,0,26,1,26,13,26,5
27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,5,27,0,27,8,27,0
28,4,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,3
29,0,,,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,3,29,0,29,0
30,0,,,30,10,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,9,30,0
31,2,,,31,0,,,31,0,,,31,0,31,0,,,31,14,,,31,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
January 2022,Rainfall (mm),February 2022,Rainfall (mm),March 2022,Rainfall (mm),April 2022,Rainfall (mm),May 2022,Rainfall (mm),June 2022,Rainfall (mm),July 2022,Rainfall (mm),August 2022,Rainfall (mm),,,,,,,,
1,9,1,0,1,1,1,0,1,0,1,0,1,4,1,0,,,,,,,,
2,14,2,0,2,0,2,0,2,2,2,0,2,6,2,0,,,,,,,,
3,0,3,22,3,41,3,0,3,0,3,0,3,0,3,0,,,,,,,,
4,0,4,65,4,4,4,0,4,0,4,17,4,0,4,0,,,,,,,,
5,0,5,0,5,3,5,0,5,0,5,0,5,0,5,0,,,,,,,,
6,18,6,0,6,0,6,0,6,14,6,10,6,6,6,0,,,,,,,,
7,6,7,1,7,18,7,0,7,0,7,0,7,0,7,0,,,,,,,,
8,20,8,0,8,0,8,0,8,20,8,0,8,0,8,0,,,,,,,,
9,1,9,0,9,0,9,1,9,9,9,0,9,0,9,0,,,,,,,,
10,0,10,0,10,0,10,2,10,30,10,0,10,0,10,0,,,,,,,,
11,0,11,0,11,6,11,0,11,8,11,0,11,0,11,0,,,,,,,,
12,0,12,0,12,0,12,0,12,73,12,0,12,0,12,0,,,,,,,,
13,0,13,0,13,0,13,0,13,81,13,0,13,4,13,0,,,,,,,,
14,0,14,0,14,0,14,13,14,24,14,0,14,0,14,0,,,,,,,,
15,0,15,0,15,0,15,0,15,12,15,0,15,0,15,0,,,,,,,,
16,10,16,0,16,0,16,0,16,3,16,0,16,0,16,0,,,,,,,,
17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,,,,,,,,
18,0,18,0,18,0,18,0,18,4,18,0,18,0,18,0,,,,,,,,
19,0,19,8,19,0,19,0,19,0,19,0,19,0,19,0,,,,,,,,
20,41,20,3,20,0,20,0,20,0,20,0,20,0,20,0,,,,,,,,
21,7,21,0,21,0,21,0,21,8,21,0,21,0,,,,,,,,,,
22,3,22,0,22,0,22,0,22,19,22,0,22,15,,,,,,,,,,
23,2,23,27,23,0,23,2,23,3,23,0,23,0,,,,,,,,,,
24,0,24,2,24,0,24,0,24,1,24,0,24,0,,,,,,,,,,
25,0,25,100,25,0,25,1,25,1,25,0,25,0,,,,,,,,,,
26,1,26,224,26,13,26,0,26,0,26,0,26,0,,,,,,,,,,
27,27,27,168,27,0,27,0,27,1,27,0,27,0,,,,,,,,,,
28,5,28,190,28,25,28,2,28,0,28,0,28,0,,,,,,,,,,
29,2,,,29,39,29,0,29,0,29,0,29,0,,,,,,,,,,
30,0,,,30,4,30,5,30,0,30,0,30,0,,,,,,,,,,
31,0,,,31,2,,,31,2,,,31,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Number,Date,Type,Street,,Corresponding Rainfall,Classification,,,,,,,,,,,,,,,,,
1,3/3/22,Flooding,Rosewood Warrill View Road,,41,Green,,,,,,,,,,,,,,,,,
2,25/2/22,Flooding,Karrabin Rosewood Road,,100,Yellow,,,,,,,,,,,,,,,,,
3,25/2/22,Flooding,Ipswich Rosewood Road,,100,Yellow,,,,,,,,,,,,,,,,,
4,25/2/22,Flooding,Bell Street/ Hodgsons Road,,100,Yellow,,,,,,,,,,,,,,,,,
5,25/2/22,Flooding,Haigslea Amberley Road,,100,Yellow,,,,,,,,,,,,,,,,,
6,27/2/22,Flooding,Middle Road / Cunningham Highway,,168,Orange,,,,,,,,,,,,,,,,,
7,27/2/22,Flooding,"Berry, Bowen and Hall Street all closed",,168,Orange,,,,,,,,,,,,,,,,,
8,12/5/22,Flooding,Old toowoomba road,,73,Yellow,,,,,,,,,,,,,,,,,
9,26/2/22,Flooding,Warwick road,,224,Red,,,,,,,,,,,,,,,,,
10,26/2/22,Flooding,Old toowoomba road,,224,Red,,,,,,,,,,,,,,,,,
11,12/5/22,Flooding,Brisbane Street/Lobb Street,,73,Yellow,,,,,,,,,,,,,,,,,
12,13/5/22,Flooding,Keogh Street,,81,Yellow,,,,,,,,,,,,,,,,,
13,13/5/22,Flooding,Sydney Street/ Gregory Street,,81,Yellow,,,,,,,,,,,,,,,,,
14,25/2/22,Flooding,MacGregor Street/ Roseberry Parade,,100,Yellow,,,,,,,,,,,,,,,,,
15,23/10/21,Roadworks,Darling Street East / Brisbane Street,,0,Green,,,,,,,,,,,,,,,,,
16,12/5/22,Flooding,"Olga, Bremer, Milford, Blackall, Barry Streets",,73,Yellow,,,,,,,,,,,,,,,,,
17,28/2/22,Flooding,Limestone Street,,190,Orange,,,,,,,,,,,,,,,,,
18,26/2/22,Flooding,"Bank, Pelican, Lawrence streets",,224,Red,,,,,,,,,,,,,,,,,
19,27/2/22,Flooding,Nelson Street,,168,Orange,,,,,,,,,,,,,,,,,
20,27/2/22,Flooding,Brisbane Road / Agnes Street,,168,Orange,,,,,,,,,,,,,,,,,
21,25/2/22,Flooding,State Route 61 / Thomas Street,,100,Yellow,,,,,,,,,,,,,,,,,
22,28/2/22,Hazard,South Station Road / Widley Street,,190,Red,,,,,,,,,,,,,,,,,
23,12/5/22,Flooding,East Owen Street,,73,Yellow,,,,,,,,,,,,,,,,,
24,28/2/22,Hazard,Cunningham Highway,,190,Red,,,,,,,,,,,,,,,,,
25,8/11/21,Roadworks,Aberdare Street,,22,Green,,,,,,,,,,,,,,,,,
26,19/8/21,Roadworks,Warrego Highway,,0,Green,,,,,,,,,,,,,,,,,
27,13/5/22,Flooding,Melbourne Street,,81,Yellow,,,,,,,,,,,,,,,,,
28,8/9/22,Hazard,Moggill Road,,0,Green,,,,,,,,,,,,,,,,,
29,27/2/22,Flooding ,Brisbane Road / Clare Avenue,,168,Orange,,,,,,,,,,,,,,,,,
30,27/2/22,Flooding,Collingwood Drive,,168,Orange,,,,,,,,,,,,,,,,,
